predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-28T20:00:00,crystal_palace,man_city,0.180396028,0.232513614,0.587090358,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T12:30:00,liverpool,nottm_forest,0.579366417,0.220076880,0.200556703,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,bournemouth,everton,0.452295815,0.271844168,0.275860017,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,coventry,hull,0.571363258,0.226617825,0.202018917,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T17:30:00,tottenham,newcastle,0.355369262,0.236617043,0.408013695,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,chelsea,brighton,0.443376057,0.247402386,0.309221557,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,leeds,brentford,0.381230655,0.260578465,0.358190881,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,sunderland,fulham,0.296177334,0.291131325,0.412691341,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T16:30:00,man_united,ipswich,0.661471746,0.190785391,0.147742863,52754,2026-08-24T20:00:00
dixon_coles,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-31T20:00:00,aston_villa,arsenal,0.208217534,0.247358321,0.544424145,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-28T20:00:00,crystal_palace,man_city,0.191858535,0.260381397,0.547760068,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T12:30:00,liverpool,nottm_forest,0.578657722,0.248214458,0.173127820,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,bournemouth,everton,0.559713579,0.255816824,0.184469597,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,coventry,hull,0.589651989,0.243604013,0.166743998,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T17:30:00,tottenham,newcastle,0.343626185,0.301842096,0.354531719,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,chelsea,brighton,0.434188801,0.293231488,0.272579711,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,leeds,brentford,0.445314793,0.290967625,0.263717583,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,sunderland,fulham,0.404945024,0.298018872,0.297036103,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T16:30:00,man_united,ipswich,0.712282137,0.183652480,0.104065382,52754,2026-08-24T20:00:00
elo,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-31T20:00:00,aston_villa,arsenal,0.265293847,0.291391842,0.443314311,52754,2026-08-24T20:00:00
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-28T20:00:00,crystal_palace,man_city,0.189497953,0.234897060,0.575604987,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T12:30:00,liverpool,nottm_forest,0.618540685,0.213920441,0.167538875,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,bournemouth,everton,0.456124007,0.268220257,0.275655737,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,coventry,hull,0.513330174,0.265319238,0.221350588,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T17:30:00,tottenham,newcastle,0.421130466,0.253414292,0.325455242,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,chelsea,brighton,0.525220690,0.239989489,0.234789821,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,leeds,brentford,0.367173924,0.278526783,0.354299293,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,sunderland,fulham,0.395772119,0.287752351,0.316475530,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T16:30:00,man_united,ipswich,0.686616520,0.187753776,0.125629704,0,
market_line,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-31T20:00:00,aston_villa,arsenal,0.147454048,0.222349811,0.630196141,0,
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-28T20:00:00,crystal_palace,man_city,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T12:30:00,liverpool,nottm_forest,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,bournemouth,everton,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T15:00:00,coventry,hull,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-29T17:30:00,tottenham,newcastle,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,chelsea,brighton,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,leeds,brentford,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T14:00:00,sunderland,fulham,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-30T16:30:00,man_united,ipswich,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
naive_baseline,2026-08-28,2026-08-28T00:00:00,2026,E0,2026-08-31T20:00:00,aston_villa,arsenal,0.456926188,0.247927199,0.295146613,9890,2026-08-24T20:00:00
