predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-18,2026-09-19T11:35:04,2026,E0,2026-09-19T12:30:00,tottenham,aston_villa,0.366999312,0.259441865,0.373558823,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-19T11:35:04,2026,E0,2026-09-19T12:30:00,tottenham,aston_villa,0.299657827,0.298411374,0.401930799,52939,2026-09-17T20:00:00
market_line,2026-09-18,2026-09-19T11:35:04,2026,E0,2026-09-19T12:30:00,tottenham,aston_villa,0.481310127,0.260482262,0.258207611,0,
naive_baseline,2026-09-18,2026-09-19T11:35:04,2026,E0,2026-09-19T12:30:00,tottenham,aston_villa,0.456149194,0.248487903,0.295362903,9920,2026-09-14T20:00:00
dixon_coles,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,brighton,arsenal,0.223981231,0.259811862,0.516206906,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,everton,ipswich,0.575622820,0.239418495,0.184958685,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,newcastle,hull,0.732179667,0.165882272,0.101938061,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,brighton,arsenal,0.210558102,0.270648186,0.518793712,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,everton,ipswich,0.590748452,0.243136470,0.166115078,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,newcastle,hull,0.676621780,0.202553583,0.120824636,52939,2026-09-17T20:00:00
market_line,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,brighton,arsenal,0.191201225,0.237843202,0.570955572,0,
market_line,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,everton,ipswich,0.544516664,0.244710739,0.210772598,0,
market_line,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,newcastle,hull,0.607366268,0.215311169,0.177322564,0,
naive_baseline,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,brighton,arsenal,0.456149194,0.248487903,0.295362903,9920,2026-09-14T20:00:00
naive_baseline,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,everton,ipswich,0.456149194,0.248487903,0.295362903,9920,2026-09-14T20:00:00
naive_baseline,2026-09-18,2026-09-19T14:05:04,2026,E0,2026-09-19T15:00:00,newcastle,hull,0.456149194,0.248487903,0.295362903,9920,2026-09-14T20:00:00
