source,alias,slug
football-data,AFC Wimbledon,afc_wimbledon
football-data,Accrington,accrington
football-data,Aldershot,aldershot
football-data,Arsenal,arsenal
football-data,Aston Villa,aston_villa
football-data,Barnet,barnet
football-data,Barnsley,barnsley
football-data,Barrow,barrow
football-data,Birmingham,birmingham
football-data,Blackburn,blackburn
football-data,Blackpool,blackpool
football-data,Bolton,bolton
football-data,Boston,boston
football-data,Bournemouth,bournemouth
football-data,Bradford,bradford
football-data,Bradford City,bradford
football-data,Brentford,brentford
football-data,Brighton,brighton
football-data,Bristol City,bristol_city
football-data,Bristol Rvs,bristol_rovers
football-data,Bromley,bromley
football-data,Burnley,burnley
football-data,Burton,burton
football-data,Bury,bury
football-data,Cambridge,cambridge
football-data,Cardiff,cardiff
football-data,Carlisle,carlisle
football-data,Charlton,charlton
football-data,Chelsea,chelsea
football-data,Cheltenham,cheltenham
football-data,Chester,chester
football-data,Chesterfield,chesterfield
football-data,Colchester,colchester
football-data,Coventry,coventry
football-data,Crawley Town,crawley
football-data,Crewe,crewe
football-data,Crystal Palace,crystal_palace
football-data,Dag and Red,dagenham_redbridge
football-data,Darlington,darlington
football-data,Derby,derby
football-data,Doncaster,doncaster
football-data,Everton,everton
football-data,Exeter,exeter
football-data,Fleetwood Town,fleetwood
football-data,Forest Green,forest_green
football-data,Fulham,fulham
football-data,Gillingham,gillingham
football-data,Grimsby,grimsby
football-data,Halifax,halifax
football-data,Harrogate,harrogate
football-data,Hartlepool,hartlepool
football-data,Hereford,hereford
football-data,Huddersfield,huddersfield
football-data,Hull,hull
football-data,Ipswich,ipswich
football-data,Kidderminster,kidderminster
football-data,Leeds,leeds
football-data,Leicester,leicester
football-data,Leyton Orient,leyton_orient
football-data,Lincoln,lincoln
football-data,Liverpool,liverpool
football-data,Luton,luton
football-data,Macclesfield,macclesfield
football-data,Man City,man_city
football-data,Man United,man_united
football-data,Mansfield,mansfield
football-data,Middlesbrough,middlesbrough
football-data,Millwall,millwall
football-data,Milton Keynes Dons,mk_dons
football-data,Morecambe,morecambe
football-data,Newcastle,newcastle
football-data,Newport County,newport_county
football-data,Northampton,northampton
football-data,Norwich,norwich
football-data,Nott'm Forest,nottm_forest
football-data,Notts County,notts_county
football-data,Oldham,oldham
football-data,Oxford,oxford
football-data,Peterboro,peterborough
football-data,Plymouth,plymouth
football-data,Port Vale,port_vale
football-data,Portsmouth,portsmouth
football-data,Preston,preston
football-data,QPR,qpr
football-data,Reading,reading
football-data,Rochdale,rochdale
football-data,Rotherham,rotherham
football-data,Rushden & D,rushden_diamonds
football-data,Salford,salford
football-data,Scunthorpe,scunthorpe
football-data,Sheffield United,sheffield_united
football-data,Sheffield Wed,sheffield_wednesday
football-data,Sheffield Weds,sheffield_wednesday
football-data,Shrewsbury,shrewsbury
football-data,Southampton,southampton
football-data,Southend,southend
football-data,Stevenage,stevenage
football-data,Stockport,stockport
football-data,Stoke,stoke
football-data,Sunderland,sunderland
football-data,Sutton,sutton
football-data,Swansea,swansea
football-data,Swindon,swindon
football-data,Torquay,torquay
football-data,Tottenham,tottenham
football-data,Tranmere,tranmere
football-data,Walsall,walsall
football-data,Watford,watford
football-data,West Brom,west_brom
football-data,West Ham,west_ham
football-data,Wigan,wigan
football-data,Wimbledon,wimbledon
football-data,Wolves,wolves
football-data,Wrexham,wrexham
football-data,Wycombe,wycombe
football-data,Yeovil,yeovil
football-data,York,york
